InteractorA,Relation,InteractorB,PMID
RXFP1,antagonist,B-R13/17K H2 RELAXIN,
OXTR,antagonist,"L-368,228",
CDK6,inhibitor,PHA-793887,
SMO,allosteric modulator,GSA-10,
PIK3CD,inhibitor,PP121,
MET,inhibitor,TEPOTINIB,
GRM1,allosteric modulator,COMPOUND 11Q,19433355
NPR1,agonist,SANP,
CHRM5,allosteric modulator,ML380,
BACE1,inhibitor,PF-06751979,
S1PR4,agonist,VPC03090-P,
RAF1,inhibitor,REGORAFENIB,
NR3C2,antagonist,PROGESTERONE,
GPR119,agonist,DS-8500A,
KCNJ14,blocker,BA2+,
CYP11B1,inhibitor,MITOTANE,
PPARD,agonist,CER-002,
SYK,inhibitor,GSK143,
BDKRB2,antagonist,NPC-349,
SCN9A,blocker,TOCAINIDE HYDROCHLORIDE,
MAP2K2,inhibitor,MEK1/2 INHIBITOR,
RPTOR,inhibitor,AZD8055,
PIK3R2,inhibitor,OMIPALISIB,
CLCN6,blocker,DIDS,
SLC6A4,inhibitor,VENLAFAXINE,
FPR2,agonist,CGEN-855A,
ADORA2A,antagonist,DERENOFYLLINE,
DRD5,agonist,N-PROPYLNORAPOMORPHINE,
ADRA2B,agonist,(-)-ADRENALINE,
GABRP,positive modulator,BUTABARBITAL SODIUM,
CASP3,activator,PAC1,
HTR1E,agonist,ERGOMETRINE,
HRH3,agonist,HISTAMINE,
MCHR1,agonist,MCH (SALMON),
PIK3CB,inhibitor,BYL719,
TUBA4A,inhibitor,INDIBULIN,
GRIN2A,antagonist,CONANTOKIN-G,
NAT1,inhibitor,PHENDIMETRAZINE TARTRATE,
AVPR1B,antagonist,,
CXCR4,antagonist,LY 2510924,
GLRA1,antagonist,HU-308,
HDAC3,inhibitor,PANOBINOSTAT,
HTR2A,antagonist,TRAZODONE HYDROCHLORIDE,
FLT1,inhibitor,PEXMETINIB,
CATSPER2,activator,PGE2,
SCN3A,inhibitor,AFT-II,
ADRB2,agonist,ISOETHARINE HYDROCHLORIDE,
CD52,antibody,ALEMTUZUMAB,
JAK3,inhibitor,JAK3 INHIBITOR II,
SCN4A,blocker,PROPOXYCAINE HYDROCHLORIDE,
GRM5,allosteric modulator,CPPHA,
NTRK1,inhibitor,GILTERITINIB,
HTR6,agonist,WAY-181187,
PTAFR,antagonist,BEPAFANT,
RAF1,inhibitor,LXH254,
ASIC2,blocker,CD2+,
LPAR4,antagonist,AM966,
FLT3,inhibitor,G749,
CXCR2,agonist,[125I]CXCL5 (HUMAN),
PIM1,inhibitor,COMPOUND 20,22136433
NR2E3,inhibitor,TRIAPINE,
KAT5,inhibitor,MG149,
MAP2K5,inhibitor,AZD6244,
C5AR1,agonist,C5A DES-ARG,
GPR35,agonist,FUROSEMIDE,
GRIN2C,blocker,KETAMINE,
NOTCH4,inhibitor,RO4929097,
HDAC2,inhibitor,BELINOSTAT,
KIT,inhibitor,QUIZARTINIB,
EGFR,inhibitor,AZD8931,
CDK2,inhibitor,BS-181,
ADORA1,antagonist,CVT-6883,
HTR1A,antagonist,WAY-100135,
KDR,inhibitor,ZM-306416,
CDK9,inhibitor,SCH727965,
ERBB3,antibody,ELGEMTUMAB,
CCR4,agonist,[125I]CCL27 (HUMAN),
SCN9A,blocker,ETIDOCAINE HYDROCHLORIDE,
GABRB1,positive modulator,ISOFLURANE,
HRH4,antagonist,CIPROXIFAN,
ADORA2B,antagonist,CAFFEINE,
ACE,inhibitor,CAPTOPRIL,
CAMKK2,inhibitor,STO609,
SSTR1,agonist,"L-362,855",
MAP2K3,inhibitor,TRAMETINIB,
XPNPEP2,inhibitor,TOSEDOSTAT,
ACE,inhibitor,FASIDOTRIL,
JAK2,inhibitor,JAK INHIBITOR 20A,
SETD7,inhibitor,(R)-PFI-2,
HCN3,blocker,CILOBRADINE,
ADORA2B,antagonist,ROLOFYLLINE,
PIK3CA,inhibitor,BKM120,
HTR2A,antagonist,SB-773812,
GUCY2C,agonist,LINACLOTIDE,
SSTR1,agonist,PASIREOTIDE DIASPARTATE,
NR1H2,agonist,AZ12260493,
MAP2K1,inhibitor,PIMASERTIB,
GHSR,antagonist,PF-05190457,
PRKCB,inhibitor,PKCBETA INHIBITOR,
KIT,inhibitor,OSI-930,
ADRA1D,agonist,(-)-ADRENALINE,
TESK2,inhibitor,COMPOUND 35,22902653
MAPK13,inhibitor,PF-03715455,
DRD4,agonist,ROTIGOTINE,
EP300,inhibitor,CURCUMIN,
MAP3K7,inhibitor,COMPOUND 12,27448772
TUBB6,inhibitor,BRENTUXIMAB VEDOTIN,
SCN9A,blocker,RALFINAMIDE,
CATSPER1,blocker,HC-056456,
P2RY12,antagonist,COMPOUND 58L,30843696
SLC6A15,inhibitor,LORATADINE,
AURKB,inhibitor,TTP-607,
KDR,inhibitor,XL820,
FSHR,agonist,UROFOLLITROPIN,
CACNA1C,blocker,MIBEFRADIL,
HRH1,antagonist,TRIFLUOPERAZINE,
TUBB8,inhibitor,BRENTUXIMAB VEDOTIN,
GRIK2,antagonist,TOPIRAMATE,
GRIA3,agonist,(S)-5-FLUOROWILLARDIINE,
GABRA3,allosteric modulator,MRK016,
GABRA1,agonist,ISOGUVACINE,
CHRM1,antagonist,ATROPINE SULFATE,
PIK3R2,inhibitor,PKI-587,
TRPV1,activator,CAPSAICIN,
ABL1,inhibitor,NILOTINIB,
SCN3A,blocker,ARTICAINE HYDROCHLORIDE,
NDUFB8,inhibitor,ME-344,
TRPV1,activator,RESINIFERATOXIN,
PROKR1,agonist,PROKINETICIN-2ëÕ,
PPARG,modulator,MK-0533,
ADORA3,antagonist,MRE 2029F20,
MAPK14,inhibitor,SC-80036,
KDR,inhibitor,MGCD265,
SCN5A,blocker,CARBAMAZEPINE,
HTR6,agonist,BROMOCRIPTINE,
HTR2B,agonist,5-HYDROXYTRYPTAMINE,
GPR183,agonist,25-HYDROXYCHOLESTEROL,
SCN10A,blocker,TETRACAINE,
TRPA1,blocker,AM-0902,
CHRNE,antagonist,PIPECURONIUM BROMIDE,
FXYD2,inhibitor,DIGOXIN,
KISS1R,agonist,TAK-448,
MCHR1,antagonist,PYRROLIDINE MCHR1 ANTAGONIST 1,
CA9,inhibitor,ETHOXZOLAMIDE,
KCNQ2,blocker,NERISPIRDINE,
SLC29A1,inhibitor,DRAFLAZINE,
GALR2,agonist,GAL-R2-DPEG24,
HDAC9,inhibitor,CUDC-101,
C5AR1,antagonist,RPR121154,
PIK3CD,inhibitor,PWT33597,
ADORA3,antagonist,DEXNIGULDIPINE,
IGF1R,antibody,GANITUMAB,
AVPR2,antagonist,TOLVAPTAN,
NR1D1,agonist,GSK4112,
FGFR2,inhibitor,BGJ398,
DRD3,agonist,QUINELORANE,
KDR,inhibitor,SORAFENIB,
MAP2K1,inhibitor,COBIMETINIB,
PTGS1,inhibitor,BALSALAZIDE DISODIUM,
AURKA,inhibitor,TTP-607,
TRPV1,antagonist,SB-705498,
SSTR3,agonist,[125I]TYR7-SST3-ODN-8,
KCNN4,blocker,SENICAPOC,
PIK3R2,inhibitor,BGT-226,
AR,modulator,GSK2881078,
CHRM3,antagonist,ANISOTROPINE METHYLBROMIDE,
AURKA,inhibitor,MLN-8054,
BACE2,inhibitor,EXAMPLE 2,
ACVR1B,inhibitor,VACTOSERTIB,
NTRK2,inhibitor,REPOTRECTINIB,
GRIA3,antagonist,NBQX,
PDGFRB,inhibitor,FAMITINIB,
NR3C2,antagonist,ONAPRISTONE,
GRIN2D,antagonist,ORPHENADRINE CITRATE,
GUCY1A2,activator,NITRIC OXIDE,
TEC,inhibitor,PRN694,
AKT1,inhibitor,UPROSERTIB,
EDNRA,antagonist,BQ123,
AKT1,inhibitor,IPATASERTIB,
GABRD,positive modulator,FLURAZEPAM HYDROCHLORIDE,
IMPA1,inhibitor,LITHIUM CITRATE HYDRATE,
GRIA1,positive modulator,MIBAMPATOR,
DRD5,agonist,ROTIGOTINE,
CPB2,inhibitor,COMPOUND 4,19954973
KAT2B,inhibitor,ANACARDIC ACID,
VIPR2,agonist,RO 25-1553,
HTR1A,agonist,RU 24969,
JAK1,inhibitor,OCLACITINIB,
KLK7,inhibitor,COMPOUND 3,23849879
CHRM2,allosteric modulator,STAUROSPORINE,
FFAR3,agonist,ISOBUTYRIC ACID,
HTR1B,agonist,TRYPTAMINE,
SSTR5,agonist,"L-362,855",
GRIA1,antagonist,Selurampanel,
HCRTR2,antagonist,SB-334867,
F9,inhibitor,PEGNIVACOGIN,
HTR1D,agonist,ALMOTRIPTAN,
KCNS3,blocker,GUANIDINE HYDROCHLORIDE,
CCR8,agonist,CCL8,
TRPC5,blocker,SKF96365,
NAPEPLD,inhibitor,HEXACHLOROPHENE,
EGFR,inhibitor,XILIERTINIB,
EGFR,inhibitor,AG 490,
SCN2A,inhibitor,BC-III,
SCN11A,blocker,PHENACEMIDE,
PIK3CD,inhibitor,IDELALISIB,
TUBA3D,inhibitor,VINORELBIN DITARTRATE,
PSMC5,inhibitor,IXAZOMIB,
TUBA3E,inhibitor,VINFLUNINE,
SYK,inhibitor,MIVAVOTINIB,
KDR,inhibitor,PAZOPANIB,
FLT4,inhibitor,OSI-930,
EDNRA,agonist,ENDOTHELIN-1,
GRIN2A,antagonist,[3H]L689560,
TACR1,antagonist,CASOPITANT,
OPRD1,antagonist,QUADAZOCINE,
NDUFB5,inhibitor,ME-344,
MAP2K2,inhibitor,SELUMETINIB,
CUL4A,inhibitor,LENALIDOMIDE,
NR3C1,agonist,ZK216348,
NR1I2,agonist,CLOTRIMAZOLE,
GRIA1,positive modulator,MK-8777,
TRPM2,activator,ARACHIDONIC ACID,
PDGFRA,inhibitor,COMPOUND 8I,22765894
CHRM2,antagonist,DOSULEPIN,
CDK6,inhibitor,BSJ-03-123,
HDAC10,inhibitor,QUISINOSTAT,
AURKC,inhibitor,Cenisertib,
CNR2,agonist,[3H]WIN55212-2,
CHRM2,antagonist,LITHOCHOLYLCHOLINE,
NR1H4,agonist,CILOFEXOR,
CACNA1D,blocker,VERAPAMIL,
PIK3CA,inhibitor,ZSTK474,
PRKD1,inhibitor,GÌÐ 6976,
CNR1,agonist,CP55940,
GRPR,antagonist,"[LEU14, ë¬ 13-14)]BOMBESIN",
RAF1,inhibitor,ARQ-736,
MET,inhibitor,RIPK3 INHIBITOR 18,
PDGFRB,inhibitor,CRENOLANIB,
CA7,inhibitor,METHAZOLAMIDE,
ASIC3,blocker,DICLOFENAC,
CMKLR1,agonist,RESOLVIN E1,
P2RY1,agonist,2-CL-ADP(ëÔ-BH3),
TUBA1C,inhibitor,INDIBULIN,
IL1R1,antagonist,ANAKINRA,
MARK1,inhibitor,7-HYDROXYSTAUROSPORINE,
GJA3,inhibitor,CA2+,
FGFR3,inhibitor,ROGARATINIB,
GRIN2C,antagonist,UBP141,
GCGR,antagonist,HGCGR ANTAGONIST,
DRD2,inverse agonist,HALOPERIDOL,
PTGIR,agonist,BUTAPROST (FREE ACID FORM),
OPRD1,agonist,CEBRANOPADOL,
TEK,inhibitor,CEP-11981,
EDNRB,antagonist,AMBRISENTAN,
FER,inhibitor,RO3280,
HDAC6,inhibitor,SCRIPTAID,
TRPV1,activator,PHENYLACETYLRINVANIL,
CACNA1D,activator,FPL64176,
HDAC6,inhibitor,PANOBINOSTAT,
BIRC7,antagonist,GDC-0152,
MLKL,inhibitor,MLKL COMPOUND 1,
ADRB2,agonist,ARFORMOTEROL TARTRATE,
HTR2C,antagonist,OLANZAPINE,
CNR1,antagonist,Drinabant,
SCN10A,blocker,HEXYLCAINE HYDROCHLORIDE,
PTGER4,agonist,CICAPROST,
SSTR2,agonist,"[111IN,90Y]DOTA-OC",
SCN5A,inhibitor,ELECLAZINE,
ADRB3,agonist,BRL 37344,
FSHR,antagonist,FSH DEGLYCOSYLATED ëÔ/ëÕ,
MAPK8,inhibitor,TANZISERTIB,
ESR1,modulator,IDOXIFENE,
PTGDR,antagonist,AH6809,
SLC6A12,inhibitor,(R)-EF-1520,
HDAC2,inhibitor,APICIDIN,
PTGDR2,antagonist,[3H]RAMATROBAN,
EGFR,inhibitor,PP1,
ADORA1,antagonist,CAFFEINE,
BRD4,inhibitor,MZ1,
KCNT2,blocker,TETRAETHYLAMMONIUM,
KCNC4,blocker,DALFAMPRIDINE,
PTGFR,agonist,SULPROSTONE,
FLT1,inhibitor,SORAFENIB,
PRKDC,inhibitor,TORIN 2,
NPR2,antagonist,"[SER11](N-CNP,C-ANP)PBNP2-15",
CDK1,inhibitor,AG-24322,
ADORA2A,antagonist,MRS1093,
ADRA2A,agonist,BRIMONIDINE TARTRATE,
GRIA3,positive modulator,MK-8777,
PIM3,inhibitor,AZD1208,
GRIN2B,blocker,N1-DANSYL-SPERMINE,
RORA,agonist,SR1001,
FLT1,inhibitor,REGORAFENIB,
CCR9,agonist,CCL25,
SSTR2,agonist,PASIREOTIDE PAMOATE,
LCK,inhibitor,SARACATINIB,
KIT,inhibitor,MIDOSTAURIN,
HTR1E,agonist,CLOZAPINE,
FPR2,agonist,FMET-LEU-PHE,
PIK3CD,inhibitor,PI-3065,
RTN4,inhibitor,OZANEZUMAB,
RET,inhibitor,GILTERITINIB,
ACE,inhibitor,FOSINOPRIL SODIUM,
GABRA1,blocker,[35S]TBPS,
RXRA,antagonist,LG100754,
PIK3CG,inhibitor,QUINOSTATIN,
HDAC1,inhibitor,CHR-3996,
GJA3,inhibitor,FLUFENAMIC ACID,
KCNA10,blocker,BA2+,
SIRT1,activator,SRT2104,
SCN5A,blocker,OXCARBAZEPINE,
CATSPER1,activator,PGE1,
CHRNA3,antagonist,PENTOLINIUM TARTRATE,
HTR2A,antagonist,H05,
GABRB1,positive modulator,QUAZEPAM,
PPARD,agonist,AVE0847,
GABRR3,agonist,MUSCIMOL,
GALR3,agonist,M1153,
GRM5,allosteric modulator,AZD9272,
HTR4,agonist,PF-04995274,
HTR1A,partial agonist,ARIPIPRAZOLE,
MAP4K2,inhibitor,NG-25,
NR3C1,agonist,FLURANDRENOLIDE,
TRPA1,activator,OMEGA-CHLOROACETOPHENONE,
ADORA3,agonist,[3H]HEMADO,
PTGER2,agonist,[3H]PGE2,
TACR2,agonist,[ëÕALA8]NEUROKININ A-(4-10),
FGR,inhibitor,TG100-801,
GPR55,agonist,2-ARACHIDONOYLGLYCEROLPHOSPHOINOSITOL,
PIK3R1,inhibitor,VS-5584,
ARAF,inhibitor,LY3009120,
GJB2,inhibitor,CA2+,
CHRM3,allosteric modulator,VINCAMINE,
GABRG2,positive modulator,FLURAZEPAM HYDROCHLORIDE,
GABRB1,positive modulator,CHLORDIAZEPOXIDE HYDROCHLORIDE,
SCN3A,blocker,ZONISAMIDE,
SSTR3,antagonist,SST3-ODN-8,
FLT4,inhibitor,XL-820,
CALCRL,antagonist,TELCAGEPANT,
AURKA,inhibitor,DUBERMATINIB,
TUBA1A,inhibitor,VINBLASTINE SULFATE,
GRPR,agonist,GASTRIN-RELEASING PEPTIDE,
ERBB2,inhibitor,BMS-690514,
PIK3R1,inhibitor,GEDATOLISIB,
FPR1,antagonist,T-BOC-FLFLF,
PRMT3,inhibitor,COMPOUND 1,22795084
CACNA1S,activator,(-)-(S)-BAYK8644,
NOX4,inhibitor,COMPOUND 87,20942471
CACNG2,modulator,PREGABALIN,
FGB,inhibitor,"FIBRINOLYSIN, HUMAN",
NTRK3,inhibitor,PEXIDARTINIB,
GRIN3B,antagonist,AMANTADINE HYDROCHLORIDE,
AKT2,inhibitor,IPATASERTIB,
PTGDR2,agonist,"15-DEOXY-ëÓ12,14-PGJ2",
ITGAV,inhibitor,DI17E6,
PIK3CA,inhibitor,SF-1126,
HTR1A,agonist,8-OH-DPAT,
HTR1D,agonist,CGS-12066,
BACE1,inhibitor,EXAMPLE 2,
MAP2K7,inhibitor,GDC-0973,
ERBB2,antibody,TRASTUZUMAB,
KCNA1,blocker,NERISPIRDINE,
BRAF,inhibitor,DASATINIB,
KCNA10,blocker,TETRAETHYLAMMONIUM,
HDAC6,inhibitor,SANTACRUZAMATE A,
ACE,inhibitor,BENAZEPRILAT,
GRIN2C,antagonist,GW468816,
PIK3R6,inhibitor,DACTOLISIB,
CHRNA7,antagonist,ATRACURIUM,
CXCR2,agonist,VCXCL1,
HSPB1,inhibitor,OGX-427,
GSK3B,inhibitor,GNF4877,
CCR3,agonist,CCL11,
CYSLTR1,antagonist,BAYU9773,
BRAF,inhibitor,LGX-806,
AR,agonist,FLUOXYMESTERONE,
MYLK,inhibitor,TOZASERTIB,
ADORA2A,antagonist,LAS38096,
PRKD3,inhibitor,SOTRASTAURIN,
NAAA,inhibitor,ARN19702,
ADRB2,antagonist,TIMOLOL,
AVPR1B,agonist,,
CACNA1B,modulator,IMAGABALIN,
NDUFC2,inhibitor,NV-128,
MAP2K1,allosteric modulator,COBIMETINIB,
PSMD13,inhibitor,CARFILZOMIB,
KDR,inhibitor,LENVATINIB MESYLATE,
PTGS2,inhibitor,NAPROXEN ETEMESIL,
OPRD1,antagonist,NALOXONE HYDROCHLORIDE,
ADORA3,antagonist,MRS1186,
GPR68,agonist,OSTN (115-133),
DDR2,inhibitor,SORAFENIB,
RET,inhibitor,SORAFENIB,
MAPK9,inhibitor,JNK INHIBITOR IX,
ERBB2,inhibitor,Hemay-022,
PTGER4,agonist,ILOPROST,
CASR,allosteric modulator,NPS 2143,
FLT1,inhibitor,CEDIRANIB,
GPR139,antagonist,LP-471756,
PDE3B,inhibitor,CILOSTAZOL,
OXTR,antagonist,"L-366,509",
PTGS2,inhibitor,MECLOFENAMATE SODIUM,
SCN11A,blocker,INDECAINIDE HYDROCHLORIDE,
PIK3C2A,inhibitor,XL147,
CXCR3,agonist,[125I]CXCL10 (HUMAN),
SLC12A3,inhibitor,TRICHLORMETHIAZIDE,
MST1R,inhibitor,MGCD-265,
PDGFRA,inhibitor,ENMD-2076,
SCN3A,blocker,TETRACAINE HYDROCHLORIDE,
HTR1A,antagonist,"GR 125,743",
PRKCQ,inhibitor,GSK690693,
SLC6A3,inhibitor,PHENDIMETRAZINE TARTRATE,
BRD7,inhibitor,LP99,
CSF1R,inhibitor,DASATINIB,
DRD2,antagonist,ZIPRASIDONE,
NAT1,inhibitor,DASOTRALINE,
KCNJ4,blocker,TETRAETHYLAMMONIUM,
GABRG2,positive modulator,SECOBARBITAL SODIUM,
CHRM3,agonist,(+)-ACECLIDINE,
IGF1R,antibody,FIGITUMUMAB,
NMUR2,agonist,NEUROMEDIN U-25,
SSTR1,agonist,"DES-AA1,2,5,12,13",
EGFR,inhibitor,AP26113,
MTOR,inhibitor,SAPANISERTIB,
AGTR1,antagonist,AZILSARTAN KAMEDOXOMIL,
CTSK,inhibitor,ODANACATIB,
MAPK11,inhibitor,DORAMAPIMOD,
CMKLR2,agonist,CHEMERIN,
PSEN1,inhibitor,MK0752,
TP53,vaccine,AD.P53-DC,
LTK,inhibitor,BELIZATINIB,
HTR4,agonist,RS 67333,
HMGCR,inhibitor,COMPOUND 2,
RAF1,inhibitor,SORAFENIB TOSYLATE,
CDK19,inhibitor,PEXIDARTINIB,
TDO2,inhibitor,LM10,
INSR,agonist,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,
C5AR1,antagonist,DF2593A,
SCN2A,blocker,GNE-616,
OPRL1,agonist,(R)-RO65-6570,
GABRA3,allosteric modulator,FLUMAZENIL,
MAP2K5,inhibitor,SELUMETINIB,
CDK2,inhibitor,CDK INHIBITOR 4.35,
HDAC8,inhibitor,DACINOSTAT,
OPRK1,agonist,[3H]U69593,
ERBB4,inhibitor,EGFR/ERBB-2/ERBB-4 INHIBITOR,
CSNK2A1,inhibitor,SILMITASERTIB,
HTR1F,agonist,SUMATRIPTAN,
MAP2K1,inhibitor,TRAMETINIB,
CACNA1D,inhibitor,AMLODIPINE,
KDR,inhibitor,COMPOUND 8H,22765894
HTR2A,agonist,BROMOCRIPTINE,
SCN8A,blocker,TETRACAINE HYDROCHLORIDE,
RARG,agonist,TRETINOIN,
PSMB2,inhibitor,MARIZOMIB,
NMUR1,agonist,[125I]NEUROMEDIN U-23 (RAT),
DHFR,inhibitor,PEMETREXED,
CDK6,inhibitor,ALVOCIDIB,
IGF1R,antibody,ISTIRATUMAB,
BRS3,antagonist,BANTAG-1,
ABCC4,inhibitor,ESTRADIOL DISULFATE,
GJB1,inhibitor,CA2+,
KCNJ4,activator,TENIDAP,
GLRA3,antagonist,WIN55212-2,
SCN5A,blocker,PHENACEMIDE,
PTGS1,inhibitor,BISMUTH SUBSALICYLATE,
TUBA3D,inhibitor,CABAZITAXEL,
HTR1A,agonist,S-14506,
NR1I2,agonist,GARCINOIC ACID,
CSNK1E,inhibitor,HTS-466284,
OPRD1,agonist,AZD7268,
CHRM5,agonist,XANOMELINE,
EGFR,antibody,NIMOTUZUMAB,
XIAP,antagonist,LCL161,
AVPR1A,agonist,SELEPRESSIN,
CLCN2,blocker,GATX2,
MME,inhibitor,CANDOXATRILAT,
TUBA3E,inhibitor,ERIBULIN MESYLATE,
RGS4,inhibitor,CCG-63802,
RAPGEF4,inhibitor,HJC 0350,
KIT,inhibitor,COMPOUND 8I,22765894
GABRE,positive modulator,METHOHEXITAL SODIUM,
SCN9A,blocker,ESLICARBAZEPINE,
CHRNA7,agonist,PHA-543613,
GABRG2,positive modulator,PROPOFOL,
EDNRB,antagonist,ATRASENTAN,
PDE6C,inhibitor,PDE4 INHIBITOR 16,
PSMD14,inhibitor,OPROZOMIB,
IGF1R,agonist,MECASERMIN,
EPHA7,inhibitor,HESPERADIN,
GLP1R,agonist,LIXISENATIDE,
CCR2,agonist,[125I]CCL7 (HUMAN),
SSTR2,agonist,BIM 23059,
HDAC7,inhibitor,CUDC-101,
ITGB3,antagonist,ETARACIZUMAB,
PTGDR,agonist,"L-644,698",
PSMC6,inhibitor,CARFILZOMIB,
CHRM2,allosteric modulator,[3H]DIMETHYL-W84,
PIK3R2,inhibitor,BKM120,
PDGFRB,inhibitor,CS2164,
PIK3CB,inhibitor,RECILISIB,
EPOR,agonist,DARBEPOETIN ALFA,
LSS,inhibitor,COMPOUND 9,22533316
CACNA2D3,blocker,BEPRIDIL HYDROCHLORIDE,
CHRM4,antagonist,UH-AH 37,
DRD1,antagonist,PERICIAZINE,
PLD1,inhibitor,FIPI,
CACNA1F,modulator,GABAPENTIN,
FLT4,inhibitor,LINIFANIB,
SCN1A,blocker,SAXITOXIN,
HDAC5,inhibitor,SB939,
FLT3,inhibitor,SORAFENIB,
HTR2A,antagonist,Trelanserin,
CES1,inhibitor,GR148672X,
HRH3,antagonist,ABT-239,
KDR,inhibitor,CEP-7055,
TBXA2R,antagonist,[125I]SQ-29548,
CASP3,inhibitor,AC-DEVD-CHO,
TUBA3E,inhibitor,CROLIBULIN,
HDAC7,inhibitor,PCI-24781,
CACNA1F,blocker,DILTIAZEM HYDROCHLORIDE,
GPR55,agonist,GSK494581A,
P2RY1,agonist,2MESADP,
HDAC6,inhibitor,CUDC-907,
GABRA3,positive modulator,METHOHEXITAL SODIUM,
BDKRB2,agonist,NG291,
GRIA3,antagonist,ZONAMPANEL,
GRIA3,allosteric modulator,PIRACETAM,
PTH1R,agonist,[TRP23]PTHRP-(1-36) (HUMAN),
S1PR2,agonist,COMPOUND 43,26751273
HDAC1,inhibitor,PANOBINOSTAT,
EGFR,inhibitor,OSIMERTINIB,
ADORA3,allosteric modulator,LUF6000,
EPOR,agonist,CIBINETIDE,
KCNMA1,activator,ANDOLAST,
AR,antagonist,BICALUTAMIDE,
HTR1A,antagonist,(S)-UH 301,
ADORA1,antagonist,ROLOFYLLINE,
CACNA1F,modulator,PREGABALIN,
OXTR,antagonist,"L-367,773",
ADRB2,agonist,MIRABEGRON,
HCRTR2,antagonist,SELTOREXANT,
HTR6,antagonist,CERLAPIRDINE,
C5AR2,agonist,C5A,
LPAR3,antagonist,VPC32179,
HDAC7,inhibitor,VORINOSTAT,
PBRM1,inhibitor,PFI-3,
GALR1,agonist,GAL-B2-C10,
HTR2A,antagonist,LUMATEPERONE,
RPS6KA3,inhibitor,BI-D1870,
RPS6KB1,inhibitor,LY2584702,
MET,inhibitor,AMUVATINIB,
GABRA3,positive modulator,ISOFLURANE,
PIK3R5,inhibitor,BGT-226,
KIT,inhibitor,SU-14813,
FGFR1,inhibitor,ENMD-981693,
ESR1,"agonist,antagonist",RALOXIFENE,
XIAP,antagonist,SM-337,
HMGCR,inhibitor,LOVASTATIN,
DPP4,inhibitor,BEGELOMAB,
SCN11A,blocker,RUFINAMIDE,
GRIN2A,antagonist,"5,7-DICHLOROKYNURENIC ACID",
P2RY4,agonist,DENUFOSOL,
ERBB2,inhibitor,BMS-690514,
ADORA3,agonist,PENECA,
ADRA2B,agonist,HYDROXYAMPHETAMINE HYDROBROMIDE,
VEGFA,inhibitor,AFLIBERCEPT,
ADORA2A,antagonist,ISTRADEFYLLINE,
ADRA1B,antagonist,PRAZOSIN,
ERAP2,inhibitor,COMPOUND 3V,27390066
MAP2K1,inhibitor,PIMASERTIB,
CASP10,inhibitor,EMRICASAN,
GRIN2A,antagonist,ACAMPROSATE CALCIUM,
S1PR1,agonist,FINGOLIMOD,
AR,antagonist,GALETERONE,
DPP4,inhibitor,TALABOSTAT,
CASR,agonist,SPERMINE,
GLRA1,allosteric modulator,ëÓ9-TETRAHYDROCANNABINOL,
HTR1A,agonist,DONITRIPTAN,
CYP19A1,inhibitor,LETROZOLE,
CHRM4,agonist,NNC 11-1585,
OPRL1,antagonist,PEPTIDE III-BTD,
VDR,agonist,DOXERCALCIFEROL,
PIM2,inhibitor,RUBOXISTAURIN,
FLT3,inhibitor,COMPOUND 8H,22765894
ITGAV,antagonist,MK-0429,
HTR4,antagonist,SB 204070,
CDK4,inhibitor,PALBOCICLIB,
JAK2,inhibitor,RGB-286638,
PIK3CG,inhibitor,ALPELISIB,
PTGER4,antagonist,GRAPIPRANT,
RXFP4,agonist,[125I]RELAXIN-3-B/INSL5 A CHIMERA,
PKD2L1,blocker,GD3+,
CTSL,inhibitor,VBY-825,
ITK,inhibitor,GNE-4997,
GPR68,allosteric modulator,LORAZEPAM,
MAP3K9,inhibitor,CEP-1347,
HCRTR1,antagonist,FILOREXANT,
GRIA1,agonist,[3H]AMPA,
MET,inhibitor,ARQ 197,
HTR1A,agonist,CAPESEROD,
MGLL,inhibitor,JZL195,
CYP2D6,inhibitor,COMPOUND 46C,29350534
PIK3R2,inhibitor,LY-3023414,
PTGDR2,antagonist,ARRY-502,
SCN2A,blocker,CHLOROPROCAINE HYDROCHLORIDE,
FLT4,inhibitor,ORANTINIB,
CASR,allosteric modulator,AC265347,
SSTR1,agonist,DES-AA5,
KDR,inhibitor,RAF265,
NQO1,modulator,VATIQUINONE,
AKR1B1,inhibitor,LIDORESTAT,
MAP2K1,inhibitor,BALAMAPIMOD,
CA2,inhibitor,DICHLORPHENAMIDE,
HTR1E,agonist,TRYPTAMINE,
SMO,inhibitor,SONIDEGIB PHOSPHATE,
HTR1B,agonist,5-HYDROXYTRYPTAMINE,
LTB4R2,antagonist,LY255283,
ITK,inhibitor,IBRUTINIB,
OPRK1,agonist,(-)-METHADONE,
IDO1,inhibitor,AMG-1,
CDK6,inhibitor,Ribociclib,
CDK1,inhibitor,Roniciclib,
P2RY12,antagonist,ELINOGREL,
HTR2C,antagonist,SERTINDOLE,
PIK3CB,inhibitor,PILARALISIB,
MAOB,inhibitor,TRANYLCYPROMINE SULFATE,
CSF1R,antibody,LY3022855,
TRPM8,blocker,LINOLEIC ACID,
PDGFRB,inhibitor,CEDIRANIB,
CTLA4,antibody,TREMELIMUMAB,
PTGS1,inhibitor,IBUPROFEN LYSINE,
TYK2,inhibitor,TOFACITINIB CITRATE,
GABRB2,positive modulator,BUTABARBITAL SODIUM,
PIK3CB,inhibitor,PP121,
